name,lat,lng,country,rating
O'Keeffes,52.35355209999999,-7.699237999999998,Ireland,3
The Dew Drop Inn,52.5372587,-2.0392319,United Kingdom,4.2
The Old Blind Mole,52.0558135,4.4983586,Netherlands,4.4
Bella Italia - Burton upon Trent,52.804666,-1.631262,United Kingdom,4.1
Siddhartha Lounge,-20.2365034,-70.15028869999999,Chile,4.1
Soccer Tavern,40.6354467,-74.0099176,USA,4.4
The Auld Triangle,51.5620263,-0.10513,United Kingdom,4.2
Lake House Restaurant,42.4405939,-88.0641485,USA,4.2
Dan Murphy's,52.3644951,4.8822754,Netherlands,4.1
Club 13,32.669447,-117.1120896,USA,4.2
Backstep Brewing Company,40.0426479,-86.9002065,USA,4.8
Mini Winery & Deli,-51.6162851,-69.2270331,Argentina,4.2
Willie McBride's,40.6062782,-74.69543999999999,USA,4.2
Slocums Grill & Bar,37.64717419999999,-118.9694488,USA,4.3
Muldoon's Irish Pub,33.61236,-117.874719,USA,4.6
Oak Inn (R.A.O.B),51.80096,-4.96739,United Kingdom,4.5
The Garrison: Craft Beer House,37.7787843,-3.791204,Spain,4.5
LA JAF,25.436907,-102.1850121,Mexico,4.4
Oakgrove Bar,54.992205,-7.326167,United Kingdom,4.5
Rory's Pub,40.360928,-73.974395,USA,4.3
NaKato Bar & Grill,44.1698881,-94.0081367,USA,4.5
Southern Music Pub Co Inc,25.8222128,-80.1876104,USA,0
Pils-Börse,53.54859039999999,9.9624451,Germany,4
No. 6 Butcher Street Pub,47.3934299,8.044161899999999,Switzerland,4.5
Nicks Package Liquor & Lounge,30.2823689,-91.229615,USA,4.5
Cervecería La Luna,-41.1210449,-71.39243139999999,Argentina,4.2
Barley Corn Cafe,41.5524354,-73.0101909,USA,3.9
The Hatch Rotisserie & Bar,35.62798,-120.689244,USA,4.5
Legends Lounge & Grill,48.950849,-54.615219,Canada,4.3
Residence Bassac,14.8950075,105.8792355,Laos,4.8
HUB Sendai Nakakecho,38.2620928,140.8799459,1 Chome−7−6 西原ビル 1F,3.9
Basin Street Hotel - Restaurant & Pub,40.5201189,-75.7750303,USA,4.3
The Broadcast Booth,42.2587949,-83.2081437,USA,3.8
Bourbon Street Bar,53.5635123,9.990170899999999,Germany,3.8
Winner's Circle Sports Bar,30.309206,-92.053377,USA,4.4
